2019-10-29 11:15:48 install openjdk-8-jre-headless:amd64 <none> 8u232-b09-1~deb9u1
2019-10-29 11:15:48 status half-installed openjdk-8-jre-headless:amd64 8u232-b09-1~deb9u1
2019-10-29 11:15:50 status unpacked openjdk-8-jre-headless:amd64 8u232-b09-1~deb9u1
2019-10-29 11:15:50 status unpacked openjdk-8-jre-headless:amd64 8u232-b09-1~deb9u1
2019-10-29 11:15:51 install ca-certificates-java:all <none> 20170929~deb9u3
2019-10-29 11:15:51 status half-installed ca-certificates-java:all 20170929~deb9u3
2019-10-29 11:15:51 status unpacked ca-certificates-java:all 20170929~deb9u3
2019-10-29 11:15:51 status unpacked ca-certificates-java:all 20170929~deb9u3
2019-10-29 11:15:51 install libdconf1:amd64 <none> 0.26.0-2+b1
2019-10-29 11:15:51 status half-installed libdconf1:amd64 0.26.0-2+b1
2019-10-29 11:15:51 status unpacked libdconf1:amd64 0.26.0-2+b1
2019-10-29 11:15:51 status unpacked libdconf1:amd64 0.26.0-2+b1
2019-10-29 11:15:51 install dconf-service:amd64 <none> 0.26.0-2+b1
2019-10-29 11:15:51 status half-installed dconf-service:amd64 0.26.0-2+b1
2019-10-29 11:15:51 status unpacked dconf-service:amd64 0.26.0-2+b1
2019-10-29 11:15:51 status unpacked dconf-service:amd64 0.26.0-2+b1
2019-10-29 11:15:51 install dconf-gsettings-backend:amd64 <none> 0.26.0-2+b1
2019-10-29 11:15:51 status half-installed dconf-gsettings-backend:amd64 0.26.0-2+b1
